name;description;price;category;mass
Campo del Cielo Meteorite 21.1g Crystal;CC-160 Campo del Cielo iron meteorite was first recorded in 1576 by Spanish explorers. However, people native to the area had known about the meteorites for years,;$26.38;Campo del Cielo Iron Meteorite;21.1g
Laâyoune 002 Lunar Meteorite 0.62g;Laâyoune LAAY-193 002 is classified as a Lunar Feldspathic Breccia type meteorite and has been given a low shock stage and a low weathering state.;$46.50;Laâyoune 002 Lunar Meteorite;0.62g
Clarendon (c) Meteorite 2.1g;CLAR-17 Clarendon (c) meteorites have a reddish-brown exterior and no fusion crust. The interior of this meteorite is a soft gray color,;$14.85;Clarendon (c) L4 Meteorite;2.1g
Tassédet 004 Meteorite 9.6g;Tassedet 004 stone meteorites generally rounded stones are dark grey in external appearance sometimes showing evidence of the melt areas inside. TAS-69;$17.28;Tassédet 004 H5 Impact Melt Meteorite;9.6g
Clarendon (c) Meteorite 1.6g;Clarendon (c) meteorites have a reddish-brown exterior and no fusion crust. The interior of this meteorite is a soft gray color CLAR-18;$15.00;Clarendon (c) L4 Meteorite;1.6g
Gold Basin Meteorite 36.1g;GBAS-21 Gold Basin meteorite is an L4 Chondrite meteorite and is found in an area popular with gold prospectors in Mohave County Arizona, USA.;$54.15;Gold Basin L4 Meteorite;36.1g
Laâyoune 002 Lunar Meteorite 1.29g;Laâyoune 002 is classified as a Lunar LAAY-181 Feldspathic Breccia type meteorite and has been given a low shock stage and a low weathering state.;$97.75;Laâyoune 002 Lunar Meteorite;1.29g
Gold Basin Meteorite 48.8g;GBAS-23 Gold Basin meteorite is an L4 Chondrite meteorite and is found in an area popular with gold prospectors in Mohave County Arizona, USA.;$73.20;Gold Basin L4 Meteorite;48.8g
NWA 869 Meteorite 24.3g Slice;The NWA 869 meteorite can contain large metal grains, troilite inclusions, giant chondrules, armored chondrules 869-379;$85.05;NWA 869 L3-6 Meteorite;24.3g
Sericho Pallasite Individual 1.21g;The Sericho pallasite meteorite was purchased in 2017 in Isiolo County, Kenya. These small pieces are skeletons of mostly only metal SERS-235;$12.10;Sericho Pallasite Meteorite;1.21g
Muonionalusta Meteorite 3.7g;Nice affordable slices and multiple cut pieces of Muonionalusta iron meteorite from Sweden. MUO-106;$14.80;Muonionalusta Meteorite;3.7g
NWA 11700 Meteorite 6.2g;Northwest Africa 11700 is a stone meteorite that was purchased in Morocco in 2017. NWA 11700 was studied at the University of Washington. 11700-28;$12.40;NWA 11700 H4 Meteorite;6.2g
NWA 869 Meteorite 22.0g Slice;869-381 NWA 869 meteorite can contain large metal grains, troilite inclusions, giant chondrules, armored chondrules;$77.00;NWA 869 L3-6 Meteorite;22.0g
Aletai Meteorite 8.0g Crystal;ALET-148 Aletai meteorites are commonly seen as slices, and can feature inclusions of troilite and schreibersite. Aletai crystals often take on fantastical, angular shapes.;$10.00;Aletai Meteorite;8.0g
Sikhote-Alin Meteorite 18.1g;SA-2172 Thumbprints or regmaglypts are what make iron meteorites look so distinctive in museums. Sikhote Alin individuals have this characteristic.;$90.50;Sikhote-Alin Iron Meteorite;18.1g
Laâyoune 002 Lunar Meteorite 1.57g;Laâyoune 002 is classified as a Lunar LAAY-180 Feldspathic Breccia type meteorite and has been given a low shock stage and a low weathering state.;$118.75;Laâyoune 002 Lunar Meteorite;1.57g
Tassédet 004 Meteorite 20.8g Slice;Tassedet 004 stone meteorites generally rounded stones are dark grey in external appearance sometimes showing evidence of the melt areas inside.TAS-71;$62.40;Tassédet 004 H5 Impact Melt Meteorite;20.8g
Bechar 003 Lunar Meteorite 0.58g;Bechar 003 lunar meteorite was found on March 24, 2022. Many small pieces of Bechar 003 were found which initially totaled 1522 grams.151-ME-11;$31.90;Bechar 003 Lunar Meteorite;0.58g
Laâyoune 002 Lunar Meteorite 2.02g;Laâyoune 002 is classified as a Lunar LAAY-182 Feldspathic Breccia type meteorite and has been given a low shock stage and a low weathering state.;$152.50;Laâyoune 002 Lunar Meteorite;2.02g
NWA 11700 Meteorite 6.4g;Northwest Africa 11700 is a stone meteorite that was purchased in Morocco in 2017. NWA 11700 was studied at the University of Washington. 11700-23;$12.80;NWA 11700 H4 Meteorite;6.4g
Dronino Oxide 5.2g;nearly 3 tons of Dronino meteorite material recovered since 2000. These oxidized irons are weathering products of Dronino meteorite fragments. DROX-48;$5.20;Dronino Ataxite Iron Meteorite;5.2g
Saffordite 5.4g;The surface of Saffordites are usually pitted with cup-shaped depressions similar to tektites. Some Saffordites are gemmy clear SAF-159 when held to a light.;$43.20;Saffordite;5.4g
Laâyoune 002 Lunar Meteorite 1.68g;Laâyoune 002 is LAAY-186classified as a Lunar Feldspathic Breccia type meteorite and has been given a low shock stage and a low weathering state.;$127.00;Laâyoune 002 Lunar Meteorite;1.68g
Gebel Kamil Meteorite 3.7g Cleaned;GEB-32 Gebel Kamil meteorite was found in Al Wadi al Jadid, Egypt in 2009. A total of about 1600 kg of Gebel Kamil iron meteorite shrapnel was found.;$7.40;Gebel Kamil Iron Meteorite;3.7g
Campo del Cielo Meteorite 23.5g Crystal;Campo del Cielo meteorites are made up of 93% iron and about 7% nickel. Scientists estimate that Campo del Cielo meteorites are about 4.5 billion years old. CC-144;$29.38;Campo del Cielo Iron Meteorite;23.5g
Laâyoune 002 Lunar Meteorite 1.43g;Laâyoune 002 is classified as a Lunar LAAY-184 Feldspathic Breccia type meteorite and has been given a low shock stage and a low weathering state.;$108.25;Laâyoune 002 Lunar Meteorite;1.43g
Bechar 003 Lunar Meteorite 0.43g;Bechar 003 lunar meteorite was found 151-ME-15 on March 24, 2022. Many small pieces of Bechar 003 were found which initially totaled 1522 grams.;$23.65;Bechar 003 Lunar Meteorite;0.43g
Seymchan Siderite Meteorite 37.9g;SIDER-12 The Seymchan meteorite was found in 1967 in Magadanskaya oblast’, Russia. These Seymchan siderite meteorite part slices display a beautiful etched pattern.;$113.70;Seymchan Siderite Meteorite;37.9g
NWA 10256 CR2 Meteorite 0.38g Slice;A 10256-11 rare CR2 is thought to be heated at higher temperatures, compared to other carbonaceous chondrites (CI/CM) and formed in an aqueous environment.;$5.00;NWA 10256 CR2 Meteorite;0.38g
Clarendon (c) Meteorite 0.8g;The Clarendon (c) meteorite was found in on a Texas ranch. They have a reddish-brown exterior and no fusion crust. CLAR-22;$10.00;Clarendon (c) L4 Meteorite;0.8g
Clarendon (c) Meteorite 8.2g;CLAR-11 Clarendon (c) meteorites have a reddish-brown exterior and no fusion crust. The interior of this meteorite is a soft gray color,;$35.00;Clarendon (c) L4 Meteorite;8.2g
Bechar 003 Lunar Meteorite 0.63g;Bechar 003 lunar meteorite was found on March 24, 2022. Many small pieces of Bechar 003 were found which initially totaled 1522 grams. 151-ME-08;$34.65;Bechar 003 Lunar Meteorite;0.63g
NWA 10256 CR2 Meteorite 0.21g Slice;A rare CR2 is thought to be heated at higher temperatures, compared to other carbonaceous chondrites (CI/CM) and formed in an aqueous environment. 10256-18;$5.00;NWA 10256 CR2 Meteorite;0.21g
Gebel Kamil Meteorite 11.3g Cleaned;GEB-27 Gebel Kamil meteorite was found in Al Wadi al Jadid, Egypt in 2009. A total of about 1600 kg of Gebel Kamil iron meteorite shrapnel was found.;$22.60;Gebel Kamil Iron Meteorite;11.3g
NWA 10256 CR2 Meteorite 0.34g Slice;A 10256-16 rare CR2 is thought to be heated at higher temperatures, compared to other carbonaceous chondrites (CI/CM) and formed in an aqueous environment.;$5.00;NWA 10256 CR2 Meteorite;0.34g
Bechar 003 Lunar Meteorite 0.63g;Bechar 003 lunar meteorite was 151-ME-17 found on March 24, 2022. Many small pieces of Bechar 003 were found which initially totaled 1522 grams.;$34.65;Bechar 003 Lunar Meteorite;0.63g
NWA 11788 Lunar Meteorite 2.61g Windowed;Fine fragmental breccia of NWA 11788 and its dark gray matrix make it somewhat different from other Lunar Feldspathic Breccias which consist of larger clasts 169;$234.90;NWA 11788 Lunar Meteorite;2.61g
NWA 10256 CR2 Meteorite 0.49g Slice;A rare CR2 is 10256-08 thought to be heated at higher temperatures, compared to other carbonaceous chondrites (CI/CM) and formed in an aqueous environment.;$5.00;NWA 10256 CR2 Meteorite;0.49g
NWA 16315 Meteorite 2.83g Slice;When sliced and polished, the interior of NWA 16315 reveals a dark gray interior with white areas and glassy feldspathic melt. 16315-27;$141.50;NWA 16315 Lunar Meteorite;2.83g
Aletai Meteorite 21.2g Crystal;Aletai meteorites were found in China in 1898. The 28-ton (ALET-131) Armanty mass of Aletai is the fifth largest meteorite found on Earth’s surface.;$26.50;Aletai Meteorite;21.2g
Bechar 003 Lunar Meteorite 0.59g;151-ME-01 Bechar 003 lunar meteorite was found on March 24, 2022. Many small pieces of Bechar 003 were found which initially totaled 1522 grams.;$32.45;Bechar 003 Lunar Meteorite;0.59g
Saffordite 5.2g;The SAF-161 surface of Saffordites are usually pitted with cup-shaped depressions similar to tektites. Some Saffordites are gemmy clear and sparkling when held to a light.;$41.60;Saffordite;5.2g
Aletai Meteorite 14.5g Crystal;ALET-143 Aletai meteorites were found in China in 1898. The 28-ton (62,000-pound) Armanty mass of Aletai is the fifth largest meteorite found on Earth’s surface;$18.13;Aletai Meteorite;14.5g
Sericho Pallasite Individual 1.74g;The Sericho pallasite meteorite was purchased in 2017 in Isiolo County, Kenya. These small pieces are skeletons of mostly only metal SERS-234;$15.66;Sericho Pallasite Meteorite;1.74g
Gold Basin Meteorite 51.8g End-Cut;The Gold Basin meteorite GBAS-27 is an L4 Chondrite meteorite and is found in an area popular with gold prospectors in Mohave County Arizona, USA.;$129.50;Gold Basin L4 Meteorite;51.8g
NWA 16315 Meteorite 2.82g Slice;When sliced and polished, the interior of NWA 16315 reveals a dark gray interior with white areas and glassy feldspathic melt.;$141.00;NWA 16315 Lunar Meteorite;2.82g
Aletai Meteorite 21.3g Crystal;Aletai meteorites were found in China in 1898. The 28-ton (ALET-129) Armanty mass of Aletai is the fifth largest meteorite found on Earth’s surface.;$26.63;Aletai Meteorite;21.3g
NWA 11788 Lunar Meteorite 2.14g Windowed;Fine fragmental breccia of NWA 11788 and its dark gray matrix make it somewhat different from other Lunar Feldspathic Breccias which consist of larger clasts. 171;$192.60;NWA 11788 Lunar Meteorite;2.14g
NWA 16315 Meteorite 3.68g Slice;When sliced and polished, the interior of NWA 16315 reveals a dark gray interior with white areas and glassy feldspathic melt. 16315-25;$184.00;NWA 16315 Lunar Meteorite;3.68g
NWA 11700 Meteorite 18.1g;11700-36 Northwest Africa 11700 is a stone meteorite that was purchased in Morocco in 2017. NWA 11700 was studied at the University of Washington;$32.58;NWA 11700 H4 Meteorite;18.1g
NWA 13974 Lunar Meteorite 0.84g;NWA 13974 is a lunar meteorite that was found in Northwest Africa in Temara. NWA 13974 is classified as a feldspathic melt breccia. 13974-26;$43.00;NWA 13974 Lunar Meteorite;0.84g
NWA 11788 Lunar Meteorite 1.95g Windowed;Lunar Meteorite NWA 11788 is a Feldspathic Breccia. It was obtained in Mali. We are offering small affordable pieces of this interesting lunar meteorite -164;$175.50;NWA 11788 Lunar Meteorite;1.95g
NWA 13974 Lunar Meteorite 0.64g;13974 is a lunar meteorite that was found in Northwest Africa in 2021 in Temara and Nis classified as a feldspathic melt breccia. 13974-31;$33.00;NWA 13974 Lunar Meteorite;0.64g
Tassédet 004 Meteorite 23.7g;Tassedet 004 stone meteorites generally rounded stones are dark grey in external appearance sometimes showing evidence of the melt areas inside. TAS-68;$47.40;Tassédet 004 H5 Impact Melt Meteorite;23.7g
Gebel Kamil Meteorite 133.7g;Gebel Kamil meteorite was found in Al Wadi al Jadid, Egypt in 2009. A total of about 1600 kg of Gebel Kamil iron meteorite shrapnel was found. GEB-21;$200.55;Gebel Kamil Iron Meteorite;133.7g
NWA 11700 Meteorite 30.3g;Northwest Africa 11700 is a stone meteorite that was purchased in Morocco in 2017. NWA 11700 was studied at the University of Washington 11700-35;$60.60;NWA 11700 H4 Meteorite;30.3g
Aletai Meteorite 20.8g Crystal;Aletai meteorites were found in China in 1898. The 28-ton ALET-134 Armanty mass of Aletai is the fifth largest meteorite found on Earth’s surface.;$26.00;Aletai Meteorite;20.8g
Gebel Kamil Meteorite 8.7g Cleaned;GEB-25 Gebel Kamil meteorite was found in Al Wadi al Jadid, Egypt in 2009. A total of about 1600 kg of Gebel Kamil iron meteorite shrapnel was found.;$17.40;Gebel Kamil Iron Meteorite;8.7g
NWA 11788 Lunar Meteorite 2.11g Windowed;Lunar Meteorite NWA 11788 is a Feldspathic Breccia.. We are offering small affordable pieces of this interesting lunar meteorite -159;$189.90;NWA 11788 Lunar Meteorite;2.11g
NWA 12925 Meteorite 1.66g;NWA 12925 consists of numerous texturally equilibrated chondrules, chromium-bearing magnetite and pentlandite. 12925-17;$28.22;NWA 12925 CK5 Meteorite;1.66g
Sericho Pallasite Individual 1.73g;SERS-232;$17.30;Sericho Pallasite Meteorite;1.73g
NWA 11700 Meteorite 5.9g;Northwest Africa 11700 is a stone meteorite that was purchased in Morocco in 2017. NWA 11700 was studied at the University of Washington. 11700-26;$11.80;NWA 11700 H4 Meteorite;5.9g
Dronino Oxide 13.1g;There have been nearly 3 tons of Dronino meteorite material recovered since 2000. These oxidized irons are weathering products of Dronino meteorite fragments. DROX-41;$13.10;Dronino Ataxite Iron Meteorite;13.1g
Clarendon (c) Meteorite 0.9g;The Clarendon (c) meteorite was found in on a Texas ranch. They have a reddish-brown exterior and no fusion crust. CLAR-20;$10.00;Clarendon (c) L4 Meteorite;0.9g
Clarendon (c) Meteorite 4.5g;CLAR-12 Clarendon (c) meteorites have a reddish-brown exterior and no fusion crust. The interior of this meteorite is a soft gray color;$25.00;Clarendon (c) L4 Meteorite;4.5g
NWA 11788 Lunar Meteorite 1.36g Windowed;Lunar Meteorite NWA 11788 is a Feldspathic Breccia.. We are offering small affordable pieces of this interesting lunar meteorite. 11788-161;$110.16;NWA 11788 Lunar Meteorite;1.36g
Campo del Cielo Meteorite 29.4g Crystal;Campo del Cielo iron meteorite was first recorded in 1576 by Spanish explorers. However, people had known about the meteorites, and used the material in their tools and weaponsCC-164;$36.75;Campo del Cielo Iron Meteorite;29.4g
Saffordite 5.2g;The surface of Saffordites are usually pitted with cup-shaped depressions similar to tektites. Some SAF-153are gemmy clear and sparkling when held to light.;$41.60;Saffordite;5.2g
NWA 13974 Lunar Meteorite 0.76g;NWA 13974 is described as a complex breccia composed of many angular clasts. 13974-30;$39.00;NWA 13974 Lunar Meteorite;0.76g
Seymchan Siderite Meteorite 22.5g Slice;SIDER-14 Seymchan meteorite was found in 1967 in Magadanskaya oblast’, Russia, siderite meteorite part slices display a beautiful etched pattern.;$67.50;Seymchan Siderite Meteorite;22.5g
NWA 11788 Lunar Meteorite 1.67g Windowed;Fine fragmental breccia of NWA 11788 and its dark gray matrix make it somewhat different from other Lunar Feldspathic Breccias which consist of larger clasts. 11788-175;$150.30;NWA 11788 Lunar Meteorite;1.67g
Sericho Pallasite Individual 0.82g;SERS-237 The Sericho pallasite meteorite was purchased in 2017 in Isiolo County, Kenya. These small pieces are skeletons of mostly only metal;$8.20;Sericho Pallasite Meteorite;0.82g
NWA 869 Meteorite 32.1g Slice;869-378 NWA 869 meteorite can contain large metal grains, troilite inclusions, giant chondrules, armored chondrules;$112.35;NWA 869 L3-6 Meteorite;32.1g
Muonionalusta Meteorite 5.2g;Nice affordable slices and multiple cut pieces of Muonionalusta iron meteorite from Sweden MUO-101;$20.80;Muonionalusta Meteorite;5.2g
NWA 10256 CR2 Meteorite 0.26g Slice;10256-20 A rare CR2 is thought to be heated at higher temperatures, compared to other carbonaceous chondrites (CI/CM) and formed in an aqueous environment.;$5.00;NWA 10256 CR2 Meteorite;0.26g
NWA 10256 CR2 Meteorite 0.23g Slice;A rare CR2 is thought to be heated at higher temperatures, compared to other carbonaceous chondrites (CI/CM) and formed in an aqueous environment. 10256-19;$5.00;NWA 10256 CR2 Meteorite;0.23g
Laâyoune 002 Lunar Meteorite 1.54g;Laâyoune 002 LAAY-187 is classified as a Lunar Feldspathic Breccia type meteorite and has been given a low shock stage and a low weathering state.;$116.50;Laâyoune 002 Lunar Meteorite;1.54g
NWA 11700 Meteorite 5.2g;Northwest Africa 11700 is a stone meteorite that was purchased in Morocco in 2017. NWA 11700 was studied at the University of Washington.11700-22;$10.40;NWA 11700 H4 Meteorite;5.2g
Muonionalusta Meteorite 3.2g;MUO-108 Nice affordable slices and multiple cut pieces of Muonionalusta iron meteorite from Sweden.;$12.80;Muonionalusta Meteorite;3.2g
NWA 16315 Meteorite 1.51g Slice;16315-32 When sliced and polished, the interior of NWA 16315 reveals a dark gray interior with white areas and glassy feldspathic melt.;$75.50;NWA 16315 Lunar Meteorite;1.51g
Dronino Oxide 4.3g;Nearly 3 tons of Dronino meteorite material recovered since 2000. These oxidized irons are weathering products of Dronino meteorite fragments. DROX-53;$5.00;Dronino Ataxite Iron Meteorite;4.3g
Laâyoune 002 Lunar Meteorite 0.86g;Laâyoune 002 is classified as a Lunar Feldspathic Breccia type meteorite and has been given a low shock stage and a low weathering state. LAAY-192;$65.50;Laâyoune 002 Lunar Meteorite;0.86g
NWA 12925 Meteorite 2.85g;NWA 12925 consists of numerous texturally equilibrated chondrules, chromium-bearing magnetite and pentlandite. 12925-16;$48.45;NWA 12925 CK5 Meteorite;2.85g
Aletai Meteorite 10.4g Crystal;Aletai meteorites were found in China in 1898. The 28-ton (ALET-135) Armanty mass of Aletai is the fifth largest meteorite found on Earth’s surface.;$13.00;Aletai Meteorite;10.4g
NWA 11788 Lunar Meteorite 1.94g Windowed;Fine fragmental breccia 11788-174 of NWA 11788 and its dark gray matrix make it somewhat different from other Lunar Feldspathic Breccias which consist of larger clasts.;$148.41;NWA 11788 Lunar Meteorite;1.94g
Gold Basin Meteorite 2.2g End-Cut;The Gold Basin GBAS-32 meteorite is an L4 Chondrite meteorite and is found in an area popular with gold prospectors in Mohave County Arizona, USA.;$17.05;Gold Basin L4 Meteorite;2.2g
NWA 11788 Lunar Meteorite 2.39g Windowed;Lunar Meteorite NWA 11788 is a Feldspathic Breccia. It was obtained in Mali. We are offering small affordable pieces of this interesting lunar meteorite -165;$215.10;NWA 11788 Lunar Meteorite;2.39g
Aletai Meteorite 10.5g Crystal;Aletai meteorites are commonly seen as slices, and can feature inclusions of troilite and schreibersite. Aletai crystals often take on fantastical, angular shapes. ALET-147;$13.13;Aletai Meteorite;10.5g
Dronino Oxide 3.0g;Nearly 3 tons of Dronino meteorite material recovered since 2000. These oxidized irons are weathering products of Dronino meteorite fragments. DROX-51;$5.00;Dronino Ataxite Iron Meteorite;3.0g
Dronino Oxide 6.6g;nearly 3 tons of Dronino meteorite material recovered since 2000. These oxidized irons are weathering products of Dronino meteorite fragments. DROX-47;$6.60;Dronino Ataxite Iron Meteorite;6.6g
Gold Basin Meteorite 20.3g;The Gold Basin meteorite is an L4 Chondrite meteorite and is found in an area popular with gold prospectors in Mohave County Arizona, USA. GBAS-30;$30.45;Gold Basin L4 Meteorite;20.3g
Dronino Oxide 7.1g;DROX-49 nearly 3 tons of Dronino meteorite material recovered since 2000. These oxidized irons are weathering products of Dronino meteorite fragments.;$7.10;Dronino Ataxite Iron Meteorite;7.1g
Gebel Kamil Meteorite 119.6g;Gebel Kamil meteorite was found in Al Wadi al Jadid, Egypt in 2009. A total of about 1600 kg of Gebel Kamil iron meteorite shrapnel was found. GEB-23;$161.46;Gebel Kamil Iron Meteorite;119.6g
NWA 11788 Lunar Meteorite 3.42g Windowed;Lunar Meteorite NWA 11788 is a Feldspathic Breccia. It was obtained in Mali. We are offering small affordable pieces of this interesting lunar meteorite 163;$307.80;NWA 11788 Lunar Meteorite;3.42g
Campo del Cielo Meteorite 21.7g Crystal;Campo del Cielo iron meteorite CC-153 first recorded in 1576 by Spanish explorers. However, people native to the area had known about the meteorites for years;$27.13;Campo del Cielo Iron Meteorite;21.7g
Muonionalusta Meteorite 7.1g;Nice affordable slices and multiple cut pieces of Muonionalusta iron meteorite from Sweden. MUO-103;$28.40;Muonionalusta Meteorite;7.1g
Ajdabiya 001 Meteorite 2.98g;Ajdabiya 001 is classified as a lunar melt breccia. As a breccia, it is composed of different materials cemented together by a matrix. AJDA01-10;$254.30;Ajdabiya 001 Lunar Melt Breccia Meteorite;2.98g
Tassédet 004 Meteorite 94.5g;Tassedet 004 stone meteorites generally rounded stones are dark grey in external appearance sometimes showing evidence of the melt areas inside. TAS-66;$189.00;Tassédet 004 H5 Impact Melt Meteorite;94.5g
NWA 10256 CR2 Meteorite 0.30g Slice;A rare CR2 is thought to be heated at higher temperatures, compared to other carbonaceous chondrites (CI/CM) and formed in an aqueous environment. 10256-15;$5.00;NWA 10256 CR2 Meteorite;0.30g
Campo del Cielo Meteorite 28.6g Crystal;CC-163Campo del Cielo iron meteorite was first recorded in 1576 by Spanish explorers. However, people had known about the meteorites, and used the material in their tools and weapons;$35.75;Campo del Cielo Iron Meteorite;28.6g
Seymchan Pallasite Meteorite 22.1g Slice;The Seymchan meteorite was found in 1967 in Magadanskaya oblast', Russia. These Seymchan meteorite part slices display beautiful olivine crystals. SEYMC-27;$154.00;Seymchan Pallasite Meteorite;22.1g
Aletai Meteorite 14.2g Crystal;Aletai meteorites were found in China in 1898. ALET-140 28-ton (62,000-pound) Armanty mass of Aletai is the fifth largest meteorite found on Earth’s surface;$22.75;Aletai Meteorite;14.2g
NWA 11788 Lunar Meteorite 1.84g Windowed;11788-158;$165.60;NWA 11788 Lunar Meteorite;1.84g
Campo del Cielo Meteorite 21.7g Crystal;CC-165 Campo del Cielo iron meteorite was first recorded in 1576 by Spanish explorers. However, people had known about the meteorites, and used the material in their tools and weapons;$27.13;Campo del Cielo Iron Meteorite;21.7g
Aguas Zarcas CM2 Meteorite 0.19g;Aguas Zarcas stones have a black matrix with Calcium Aluminum Inclusions (CAIs) and chondrules. This is the largest fall of CM-2 meteorites in recent history AZ-157;$47.50;Aguas Zarcas CM2 Meteorite;0.19g
Aguas Zarcas CM2 Meteorite 0.05g;AZ-160 Aguas Zarcas stones have a black matrix with Calcium Aluminum Inclusions (CAIs) and chondrules. This is the largest fall of CM-2 meteorites in recent history;$12.50;Aguas Zarcas CM2 Meteorite;0.05g
NWA 11788 Lunar Meteorite 2.15g Windowed;Fine fragmental breccia of NWA 11788 and its dark gray matrix make it somewhat different from other Lunar Feldspathic Breccias which consist of larger clasts. 11788-172;$193.50;NWA 11788 Lunar Meteorite;2.15g
Bechar 003 Lunar Meteorite 0.78g;151-ME-23 Bechar 003 lunar meteorite was found on March 24, 2022. Many small pieces of Bechar 003 were found which initially totaled 1522 grams.;$42.90;Bechar 003 Lunar Meteorite;0.78g
Bechar 003 Lunar Meteorite 1.25g;Bechar 003 lunar meteorite was found on March 24, 2022. Many small pieces of Bechar 003 were found which initially totaled 1522 grams. 151-ME-13;$68.75;Bechar 003 Lunar Meteorite;1.25g
Campo del Cielo Meteorite 30.8g Crystal;Campo del Cielo iron meteorite CC-147 recorded in 1576 by Spanish explorers. However, people native to the area had known about the meteorites for years;$38.50;Campo del Cielo Iron Meteorite;30.8g
Sericho Pallasite Individual 1.68g;The Sericho pallasite meteorite was purchased in 2017 in Isiolo County, Kenya. These small pieces are skeletons of mostly only metal SERS-236;$16.80;Sericho Pallasite Meteorite;1.68g
Saffordite 4.8g;The surface of Saffordites are usually pitted with cup-shaped depressions similar to tektites. Some SAF-152are gemmy clear and sparkling when held to light.;$38.40;Saffordite;4.8g
NWA 869 Meteorite 28.3g Slice;NWA 869 meteorite can contain large metal grains, troilite inclusions, giant chondrules, armored chondrules 869-380;$99.05;NWA 869 L3-6 Meteorite;28.3g
Bechar 003 Lunar Meteorite 0.97g;Bechar 003 has been classified as a Lunar Feldspathic Breccia meteorite and is moderately shocked. It has been assigned a low weathering state. 151-ME-07;$53.35;Bechar 003 Lunar Meteorite;0.97g
Gebel Kamil Meteorite 186.9g;Gebel Kamil meteorite was found in Al Wadi al Jadid, Egypt in 2009. A total of about 1600 kg of Gebel Kamil iron meteorite shrapnel was found. GEB-22;$280.35;Gebel Kamil Iron Meteorite;186.9g
Sikhote-Alin Meteorite 13.5g;Thumbprints or regmaglypts are what make iron meteorites look so distinctive in museums. Sikhote Alin individuals have this characteristic.SA-2176;$67.50;Sikhote-Alin Iron Meteorite;13.5g
Saffordite 7.1g;The surface of Saffordites are usually pitted with cup-shaped depressions similar to tektites. Some Saffordites are gemmy clear and sparkling when held to a light. SAF-160;$56.80;Saffordite;7.1g
Bechar 003 Lunar Meteorite 0.82g;151-ME-03 Bechar 003 has been classified as a Lunar Feldspathic Breccia meteorite and is moderately shocked. It has been assigned a low weathering state.;$45.10;Bechar 003 Lunar Meteorite;0.82g
Tassédet 004 Meteorite 41.8g;Tassedet 004 stone meteorites generally rounded stones are dark grey in external appearance sometimes showing evidence of the melt areas inside. TAS-67;$83.60;Tassédet 004 H5 Impact Melt Meteorite;41.8g
Seymchan Pallasite Meteorite 11.6g Slice;The Seymchan meteorite was found in 1967 in Magadanskaya oblast', Russia. These Seymchan meteorite part slices display beautiful olivine crystals. SEYMC-29;$116.00;Seymchan Pallasite Meteorite;11.6g
NWA 16315 Meteorite 1.18g Slice;NWA 16315 lunar meteorite exhibits partial fusion crust and orientation. Flow lines are visible on the meteorite’s exterior. 16315-38;$59.00;NWA 16315 Lunar Meteorite;1.18g
Saffordite 4.3g;The SAF-163 surface of Saffordites are usually pitted with cup-shaped depressions similar to tektites. Some Saffordites are gemmy clear and sparkling when held to a light.;$34.40;Saffordite;4.3g
Ajdabiya 001 Meteorite 0.32g Slice;AJDA01-17 The Ajdabiya 001 lunar meteorite was found in 2021 in Libya. The specimens total 28.8 kilograms and were studied at the University of Washington;$28.20;Ajdabiya 001 Lunar Melt Breccia Meteorite;0.32g
Saffordite 6.3g;The surface of Saffordites are usually pitted with cup-shaped depressions similar to tektites. Some SAF-155s are gemmy clear when held to light.;$50.40;Saffordite;6.3g
Bechar 003 Lunar Meteorite 0.53g;151-ME-14 Bechar 003 lunar meteorite was found on March 24, 2022. Many small pieces of Bechar 003 were found which initially totaled 1522 grams.;$29.15;Bechar 003 Lunar Meteorite;0.53g
