name;description;price;category;mass
NWA 16315 Meteorite 3.50g Slice;When sliced and polished, the interior of NWA 16315 reveals a dark gray interior with white areas and glassy feldspathic melt. 16315-26;$175.00;NWA 16315 Lunar Meteorite;3.50g
NWA 11788 Lunar Meteorite 3.13g Windowed;11788-162 Lunar Meteorite NWA 11788 is a Feldspathic Breccia.. We are offering small affordable pieces of this interesting lunar meteorite.;$281.70;NWA 11788 Lunar Meteorite;3.13g
NWA 11700 Meteorite 10.1g;Northwest Africa 11700 is a stone meteorite that was purchased in Morocco in 2017. NWA 11700 was studied at the University of Washington. 11700-27;$20.20;NWA 11700 H4 Meteorite;10.1g
NWA 11700 Meteorite 1.7g;Northwest Africa 11700 is a stone meteorite that was purchased in Morocco in 2017. NWA 11700 was studied at the University of Washington. 11700-21;$3.40;NWA 11700 H4 Meteorite;1.7g
Dronino Oxide 3.2g;Nearly 3 tons of Dronino meteorite material recovered since 2000. These oxidized irons are weathering products of Dronino meteorite fragments. DROX-54;$5.00;Dronino Ataxite Iron Meteorite;3.2g
NWA 11700 Meteorite 5.5g;Northwest Africa 11700 is a stone meteorite that was purchased in Morocco in 2017. NWA 11700 was studied at the University of Washington 11700-32;$9.35;NWA 11700 H4 Meteorite;5.5g
NWA 11788 Lunar Meteorite 1.60g Windowed;Fine fragmental breccia of NWA 11788 and its dark gray matrix make it somewhat different from other Lunar Feldspathic Breccias which consist of larger clasts. 170;$144.00;NWA 11788 Lunar Meteorite;1.60g
Clarendon (c) Meteorite 3.2g;Clarendon (c) meteorites have a reddish-brown exterior and no fusion crust. The interior of this meteorite is a soft gray color CLAR-13;$20.00;Clarendon (c) L4 Meteorite;3.2g
NWA 10256 CR2 Meteorite 0.40g Slice;A rare CR2 10256-12 is thought to be heated at higher temperatures, compared to other carbonaceous chondrites (CI/CM) and formed in an aqueous environment.;$5.00;NWA 10256 CR2 Meteorite;0.40g
Aguas Zarcas CM2 Meteorite 0.067g;Aguas Zarcas stones have a black matrix with Calcium Aluminum Inclusions (CAIs) and chondrules. This is the largest fall of CM-2 meteorites in recent history AZ-159;$16.75;Aguas Zarcas CM2 Meteorite;0.067g
NWA 869 Meteorite 17.4g Slice;NWA 869 meteorite can contain large metal grains, troilite inclusions, giant chondrules, armored chondrules. 869-382;$60.90;NWA 869 L3-6 Meteorite;17.4g
NWA 11700 Meteorite 5.8g;Northwest Africa 11700 is a stone meteorite that was purchased in Morocco in 2017. NWA 11700 was studied at the University of Washington. 11700-25;$11.60;NWA 11700 H4 Meteorite;5.8g
Aguas Zarcas CM2 Meteorite 0.289g;Aguas Zarcas stones have a black matrix with Calcium Aluminum Inclusions (CAIs) and chondrules. This is the largest fall of CM-2 meteorites in recent history AZ-162;$72.25;Aguas Zarcas CM2 Meteorite;0.289g
Laâyoune 002 Lunar Meteorite 0.49g;Laâyoune 002 is classified as a Lunar Feldspathic Breccia type meteorite and has been given a low shock stage and a low weathering state. LAAY-194;$36.75;Laâyoune 002 Lunar Meteorite;0.49g
NWA 10256 CR2 Meteorite 0.33g Slice;A rare 10256-13 CR2 is thought to be heated at higher temperatures, compared to other carbonaceous chondrites (CI/CM) and formed in an aqueous environment.;$5.00;NWA 10256 CR2 Meteorite;0.33g
Campo del Cielo Meteorite 34.6g Crystal;Campo del Cielo meteorites are made up of 93% iron and about 7% nickel. Scientists estimate that Campo del Cielo meteorites are about 4.5 billion years old. CC-141;$43.25;Campo del Cielo Iron Meteorite;34.6g
Laâyoune 002 Lunar Meteorite 1.40g;Laâyoune 002 is classified as a Lunar Feldspathic Breccia type meteorite and has been given a low shock stage and a low weathering state.LAAY-188;$106.00;Laâyoune 002 Lunar Meteorite;1.40g
Aletai Meteorite 14.8g Crystal;Aletai meteorites areALET-144 seen as slices, and can feature inclusions of troilite and schreibersite. Aletai crystals often take on fantastical, angular shapes.;$18.50;Aletai Meteorite;14.8g
NWA 11700 Meteorite 8.9g;Northwest Africa 11700 is a stone meteorite that was purchased in Morocco in 2017. NWA 11700 was studied at the University of Washington 11700-30;$17.80;NWA 11700 H4 Meteorite;8.9g
Campo del Cielo Meteorite 12.4g Crystal;Campo del Cielo iron meteorite CC-154 first recorded in 1576 by Spanish explorers. However, people native to the area had known about the meteorites for years;$15.50;Campo del Cielo Iron Meteorite;12.4g
Tassédet 004 Meteorite 21.5g Slice;Tassedet 004 stone meteorites generally rounded stones are dark grey in external appearance sometimes showing evidence of the melt areas inside. TAS-70;$64.50;Tassédet 004 H5 Impact Melt Meteorite;21.5g
Laâyoune 002 Lunar Meteorite 0.89g;Laâyoune 002 is classified as a Lunar LAAY-183 Feldspathic Breccia type meteorite and has been given a low shock stage and a low weathering state.;$67.75;Laâyoune 002 Lunar Meteorite;0.89g
Seymchan Pallasite Meteorite 23.2g Slice;The Seymchan meteorite was found in 1967 in Magadanskaya oblast', Russia. These Seymchan meteorite part slices display beautiful olivine crystals. SEYMC-27;$164.00;Seymchan Pallasite Meteorite;23.2g
Bechar 003 Lunar Meteorite 0.86g;Bechar 003 151-ME-21 lunar meteorite was found on March 24, 2022. Many small pieces of Bechar 003 were found which initially totaled 1522 grams.;$47.30;Bechar 003 Lunar Meteorite;0.86g
Campo del Cielo Meteorite 27.9g Crystal;CC-167 Campo del Cielo iron meteorite was first recorded in 1576 by Spanish explorers. However, people had known about the meteorites, and used the material in their tools and weapons;$34.88;Campo del Cielo Iron Meteorite;27.9g
Aletai Meteorite 24.2g Crystal;Aletai meteorites were found in China in 1898. The 28-ton (ALET-130) Armanty mass of Aletai is the fifth largest meteorite found on Earth’s surface.;$30.25;Aletai Meteorite;24.2g
Sikhote-Alin Meteorite 19.3g;Thumbprints or regmaglypts are what make iron meteorites look so distinctive in museums. Sikhote Alin individuals have this characteristic SA-2173;$96.50;Sikhote-Alin Iron Meteorite;19.3g
NWA 11700 Meteorite 7.5g;Northwest Africa 11700 is a stone meteorite that was purchased in Morocco in 2017. NWA 11700 was studied at the University of Washington. 11700-24;$15.00;NWA 11700 H4 Meteorite;7.5g
Aletai Meteorite 22.9g Crystal;Aletai ALET-142 meteorites were found in China in 1898. The 28-ton (62,000-pound) Armanty mass of Aletai is the fifth largest meteorite found on Earth’s surface;$28.63;Aletai Meteorite;22.9g
Gebel Kamil Meteorite 4.6g Cleaned;The Gebel Kamil meteorite was found in Al Wadi al Jadid, Egypt in 2009. A total of about 1600 kg of Gebel Kamil iron meteorite shrapnel was found. GEB-31;$9.20;Gebel Kamil Iron Meteorite;4.6g
Dronino Oxide 5.8g;DROX-44 Nearly 3 tons of Dronino meteorite material recovered since 2000. These oxidized irons are weathering products of Dronino meteorite fragments.;$5.80;Dronino Ataxite Iron Meteorite;5.8g
NWA 16315 Meteorite 1.71g Slice;16315-36 When sliced and polished, the interior of NWA 16315 reveals a dark gray interior with white areas and glassy feldspathic melt.;$85.50;NWA 16315 Lunar Meteorite;1.71g
NWA 12925 Meteorite 3.05g;NWA 12925 consists of numerous texturally equilibrated chondrules, chromium-bearing magnetite and pentlandite. 12925-15;$51.85;NWA 12925 CK5 Meteorite;3.05g
NWA 16315 Meteorite 3.11g Slice;When sliced and polished, the interior of NWA 16315 reveals a dark gray interior with white areas and glassy feldspathic melt. 16315-29;$155.50;NWA 16315 Lunar Meteorite;3.11g
Gold Basin Meteorite 37.7g;The Gold Basin meteorite is an L4 Chondrite meteorite and is found in an area popular with gold prospectors in Mohave County Arizona, USA. GBAS-31;$56.55;Gold Basin L4 Meteorite;37.7g
NWA 13974 Lunar Meteorite 0.34g;NWA 13974 is a lunar meteorite that was found in Northwest Africa in 2021 in Temara and Nis classified as a feldspathic melt breccia. 13974-38;$18.00;NWA 13974 Lunar Meteorite;0.34g
Ajdabiya 001 Meteorite 0.59g Slice;The Ajdabiya 001 lunar meteorite was found in 2021 in Libya. The specimens total 28.8 kilograms and were studied at the University of Washington AJDA01-18;$51.15;Ajdabiya 001 Lunar Melt Breccia Meteorite;0.59g
Bechar 003 Lunar Meteorite 0.73g;151-ME-28 Bechar 003 lunar meteorite was found on March 24, 2022. Many small pieces of Bechar 003 were found which initially totaled 1522 grams.;$40.15;Bechar 003 Lunar Meteorite;0.73g
Clarendon (c) Meteorite 3.0g;Clarendon (c) meteorites have a reddish-brown exterior and no fusion crust. The interior of this meteorite is a soft gray color CLAR-14;$20.00;Clarendon (c) L4 Meteorite;3.0g
Saffordite 5.2g;The surface of Saffordites are usually pitted with cup-shaped depressions similar to tektites. Some are gemmy clear and sparkling when held to light.SAF-149;$41.60;Saffordite;5.2g
Sikhote-Alin Meteorite 16.5g;Thumbprints or regmaglypts are what make iron meteorites look so distinctive in museums. Sikhote Alin individuals have this characteristic. SA-2174;$82.50;Sikhote-Alin Iron Meteorite;16.5g
Bechar 003 Lunar Meteorite 0.47g;Bechar 003 lunar meteorite was found on March 24, 2022. Many small pieces of Bechar 003 were found which initially totaled 1522 grams. 151-ME-09;$25.85;Bechar 003 Lunar Meteorite;0.47g
Campo del Cielo Meteorite 22.2g Crystal;CC-168 A large mass of Campo del Cielo iron meteorite was first recorded in 1576 by Spanish explorers. However, people had known about the meteorites, and used the material in their tools and weapons;$27.75;Campo del Cielo Iron Meteorite;22.2g
NWA 16315 Meteorite 2.42g Slice;NWA 16315 lunar meteorite exhibits partial fusion crust and orientation. Flow lines are visible on the meteorite’s exterior. 16315-40;$121.00;NWA 16315 Lunar Meteorite;2.42g
Saffordite 5.1g;The surface SAF-162 of Saffordites are usually pitted with cup-shaped depressions similar to tektites. Some Saffordites are gemmy clear and sparkling when held to a light.;$34.68;Saffordite;5.1g
NWA 11788 Lunar Meteorite 2.44g Windowed;Lunar Meteorite NWA 11788 is a Feldspathic Breccia. It was obtained in Mali. We are offering small affordable pieces of this interesting lunar meteorite -168;$219.60;NWA 11788 Lunar Meteorite;2.44g
Bechar 003 Lunar Meteorite 0.64g;151-ME-06 Bechar 003 has been classified as a Lunar Feldspathic Breccia meteorite and is moderately shocked. It has been assigned a low weathering state.;$35.20;Bechar 003 Lunar Meteorite;0.64g
NWA 11700 Meteorite 4.1g;Northwest Africa 11700 is a stone meteorite that was purchased in Morocco in 2017. NWA 11700 was studied at the University of Washington 11700-31;$8.20;NWA 11700 H4 Meteorite;4.1g
NWA 16315 Meteorite 3.40g Slice;When sliced and polished, the interior of NWA 16315 reveals a dark gray interior with white areas and glassy feldspathic melt. 16315-23;$170.00;NWA 16315 Lunar Meteorite;3.40g
Clarendon (c) Meteorite 0.9g;CLAR-19 The Clarendon (c) meteorite was found in on a Texas ranch. They have a reddish-brown exterior and no fusion crust.;$10.00;Clarendon (c) L4 Meteorite;0.9g
Bechar 003 Lunar Meteorite 0.91g;Bechar 003 lunar meteorite was found on March 24, 2022. Many small pieces of Bechar 003 were found which initially totaled 1522 grams. 151-ME-29;$50.05;Bechar 003 Lunar Meteorite;0.91g
NWA 16315 Meteorite 1.33g Slice;16315-35;$66.50;NWA 16315 Lunar Meteorite;1.33g
NWA 11788 Lunar Meteorite 1.25g Windowed;Lunar Meteorite NWA 11788 is a Feldspathic Breccia.. We are offering small affordable pieces of this interesting lunar meteorite 160;$112.50;NWA 11788 Lunar Meteorite;1.25g
Saffordite 6.3g;The surface of Saffordites are usually pitted with cup-shaped depressions similar to tektites. Some SAF-154are gemmy clear and sparkling when held to light.;$50.40;Saffordite;6.3g
Bechar 003 Lunar Meteorite 0.35g;Bechar 003 has been classified as a Lunar Feldspathic Breccia meteorite and is moderately shocked. It has been assigned a low weathering state. 151-ME-02;$19.25;Bechar 003 Lunar Meteorite;0.35g
Tassédet 004 Meteorite 1.1g Slice;TAS-73 Tassedet 004 stone meteorites generally rounded stones are dark grey in external appearance sometimes showing evidence of the melt areas inside.;$5.00;Tassédet 004 H5 Impact Melt Meteorite;1.1g
Campo del Cielo Meteorite 28.3g Crystal;Campo del Cielo meteorites are made up of 93% iron and about 7% nickel. Scientists estimate that Campo del Cielo meteorites are about 4.5 billion years old. CC-142;$35.38;Campo del Cielo Iron Meteorite;28.3g
Gold Basin Meteorite 49.6g;GBAS-26 The Gold Basin meteorite is an L4 Chondrite meteorite and is found in an area popular with gold prospectors in Mohave County Arizona, USA.;$74.40;Gold Basin L4 Meteorite;49.6g
Aguas Zarcas CM2 Meteorite 0.16g;Aguas Zarcas stones have a black matrix with Calcium Aluminum Inclusions (CAIs) and chondrules. This is the largest fall of CM-2 meteorites in recent history AZ-155;$40.00;Aguas Zarcas CM2 Meteorite;0.16g
Bechar 003 Lunar Meteorite 0.68g;Bechar 003 lunar meteorite 151-ME-19 was found on March 24, 2022. Many small pieces of Bechar 003 were found which initially totaled 1522 grams.;$37.40;Bechar 003 Lunar Meteorite;0.68g
Bechar 003 Lunar Meteorite 0.26g;Bechar 151-ME-05 003 lunar meteorite was found on March 24, 2022. Many small pieces of Bechar 003 were found which initially totaled 1522 grams.;$14.30;Bechar 003 Lunar Meteorite;0.26g
Dronino Oxide 4.9g;Nearly 3 tons of Dronino meteorite material recovered since 2000. These oxidized irons are weathering products of Dronino meteorite fragments. DROX-52;$5.00;Dronino Ataxite Iron Meteorite;4.9g
Campo del Cielo Meteorite 21.9g Crystal;Campo del Cielo iron meteorite CC-148 recorded in 1576 by Spanish explorers. However, people native to the area had known about the meteorites for years;$27.38;Campo del Cielo Iron Meteorite;21.9g
Saffordite 3.4g;The surface of Saffordites are usually pitted with cup-shaped depressions similar to tektites. Some Saffordites are gemmy clear and sparkling when held to a light. SAF-165;$27.20;Saffordite;3.4g
Gold Basin Meteorite 3.3g Slice;The Gold Basin meteorite is an L4 Chondrite meteorite and is found in an area popular with gold prospectors in Mohave County Arizona, USA. GBAS-35;$25.58;Gold Basin L4 Meteorite;3.3g
Clarendon (c) Meteorite 3.0g;Clarendon (c) meteorites have a reddish-brown exterior and no fusion crust. The interior of this meteorite is a soft gray color CLAR-15;$20.00;Clarendon (c) L4 Meteorite;3.0g
NWA 16315 Meteorite 1.61g Slice;16315-34 When sliced and polished, the interior of NWA 16315 reveals a dark gray interior with white areas and glassy feldspathic melt.;$80.50;NWA 16315 Lunar Meteorite;1.61g
Saffordite 5.5g;The surface of Saffordites are usually pitted with cup-shaped depressions similar to tektites. Some are gemmy clear and sparkling when held to light.SAF-147;$44.00;Saffordite;5.5g
Clarendon (c) Meteorite 1.7g;Clarendon (c) meteorites have a reddish-brown exterior and no fusion crust. The interior of this meteorite is a soft gray color CLAR-16;$15.00;Clarendon (c) L4 Meteorite;1.7g
NWA 10256 CR2 Meteorite 0.51g Slice;A rare CR2 10256-09 is thought to be heated at higher temperatures, compared to other carbonaceous chondrites (CI/CM) and formed in an aqueous environment.;$5.00;NWA 10256 CR2 Meteorite;0.51g
Laâyoune 002 Lunar Meteorite 0.75g;Laâyoune 002 is classified as a Lunar Feldspathic Breccia type meteorite and has been given a low shock stage and a low weathering state. LAAY-198;$56.25;Laâyoune 002 Lunar Meteorite;0.75g
Aguas Zarcas CM2 Meteorite 0.24g;Aguas Zarcas stones have a black matrix with Calcium Aluminum Inclusions (CAIs) and chondrules. This is the largest fall of CM-2 meteorites in recent history AZ-158;$60.00;Aguas Zarcas CM2 Meteorite;0.24g
Campo del Cielo Meteorite 31.1g Crystal;Campo del Cielo meteorites are made up of 93% iron and about 7% nickel. Scientists estimate that Campo del Cielo meteorites are about 4.5 billion years old.CC-143;$38.88;Campo del Cielo Iron Meteorite;31.1g
Aguas Zarcas CM2 Meteorite 0.15g;Aguas Zarcas stones have a black matrix with Calcium Aluminum Inclusions (CAIs) and chondrules. This is the largest fall of CM-2 meteorites in recent history AZ-161;$37.50;Aguas Zarcas CM2 Meteorite;0.15g
Gold Basin Meteorite 1.5g End-Cut;The Gold Basin GBAS-33 meteorite is an L4 Chondrite meteorite and is found in an area popular with gold prospectors in Mohave County Arizona, USA.;$11.63;Gold Basin L4 Meteorite;1.5g
Campo del Cielo Meteorite 40.2g Crystal;Campo del Cielo iron meteoriteCC-146 recorded in 1576 by Spanish explorers. However, people native to the area had known about the meteorites for years;$50.25;Campo del Cielo Iron Meteorite;40.2g
NWA 869 Meteorite 0.5g Dust;869-383 The NWA 869 meteorite can contain large metal grains, troilite inclusions, giant chondrules, armored chondrules;$7.00;Meteorite Gifts;0.5g
NWA 16315 Meteorite 1.22g Slice;When sliced and polished, the interior of NWA 16315 reveals a dark gray interior with white areas and glassy feldspathic melt. 16315-30;$61.00;NWA 16315 Lunar Meteorite;1.22g
Campo del Cielo Meteorite 22.2g Crystal;Campo del Cielo iron meteorite was first recorded in 1576 by Spanish explorers. However, people native to the area had known about the meteorites for yearsCC-159;$27.75;Campo del Cielo Iron Meteorite;22.2g
Gebel Kamil Meteorite 12.9g Cleaned;GEB-26 Gebel Kamil meteorite was found in Al Wadi al Jadid, Egypt in 2009. A total of about 1600 kg of Gebel Kamil iron meteorite shrapnel was found.;$25.80;Gebel Kamil Iron Meteorite;12.9g
Bechar 003 Lunar Meteorite 0.91g;Bechar 003 lunar meteorite was found on March 24, 2022. Many small pieces of Bechar 003 were found which initially totaled 1522 grams.151-ME-22;$50.05;Bechar 003 Lunar Meteorite;0.91g
Gebel Kamil Meteorite 6.2g Cleaned;The Gebel Kamil meteorite was found in Al Wadi al Jadid, Egypt in 2009. A total of about 1600 kg of Gebel Kamil iron meteorite shrapnel was found. GEB-28;$12.40;Gebel Kamil Iron Meteorite;6.2g
NWA 16315 Meteorite 0.5g Dust;16315-41 NWA 16315 lunar meteorite exhibits partial fusion crust and orientation. Flow lines are visible on the meteorite’s exterior.;$20.00;NWA 16315 Lunar Meteorite;0.5g
Gold Basin Meteorite 54.3g;GBAS-22 Gold Basin meteorite is an L4 Chondrite meteorite and is found in an area popular with gold prospectors in Mohave County Arizona, USA.;$81.45;Gold Basin L4 Meteorite;54.3g
Muonionalusta Meteorite 11.9g;Nice affordable slices and multiple cut pieces of Muonionalusta iron meteorite from Sweden MUO-97;$42.84;Muonionalusta Meteorite;11.9g
Clarendon (c) Meteorite 1.0g;CLAR-21 Clarendon (c) meteorites have a reddish-brown exterior and no fusion crust. The interior of this meteorite is a soft gray color;$12.00;Clarendon (c) L4 Meteorite;1.0g
Saffordite 5.3g;The surface of Saffordites are usually pitted with cup-shaped depressions similar to tektites. Some Saffordites are gemmy clear and sparkling when held to a light. SAF-158;$42.40;Saffordite;5.3g
Laâyoune 002 Lunar Meteorite 0.71g;LAAY-197 Laâyoune 002 is classified as a Lunar Feldspathic Breccia type meteorite and has been given a low shock stage and a low weathering state.;$53.25;Laâyoune 002 Lunar Meteorite;0.71g
Aguas Zarcas CM2 Meteorite 0.21g;AZ-164 Aguas Zarcas stones have a black matrix with Calcium Aluminum Inclusions (CAIs) and chondrules. This is the largest fall of CM-2 meteorites in recent history;$43.00;Aguas Zarcas CM2 Meteorite;0.21g
Saffordite 4.9g;The surface of Saffordites are usually pitted with cup-shaped depressions similar to tektites. Some are gemmy clear and sparkling when held to light.SAF-150;$39.20;Saffordite;4.9g
NWA 16315 Meteorite 2.40g Slice;When sliced and polished, the interior of NWA 16315 reveals a dark gray interior with white areas and glassy feldspathic melt. 16315-21;$120.00;NWA 16315 Lunar Meteorite;2.40g
NWA 11788 Lunar Meteorite 2.02g Windowed;Lunar Meteorite NWA 11788 is a Feldspathic Breccia. It was obtained in Mali. We are offering small affordable pieces of this interesting lunar meteorite -166;$181.80;NWA 11788 Lunar Meteorite;2.02g
Laâyoune 002 Lunar Meteorite 0.56g;Laâyoune 002 iLAAY-189 s classified as a Lunar Feldspathic Breccia type meteorite and has been given a low shock stage and a low weathering state.;$43.00;Laâyoune 002 Lunar Meteorite;0.56g
Campo del Cielo Meteorite 26.0g Crystal;CC-156 Campo del Cielo iron meteorite was first recorded in 1576 by Spanish explorers. However, people native to the area had known about the meteorites for years;$32.50;Campo del Cielo Iron Meteorite;26.0g
Bechar 003 Lunar Meteorite 0.56g;151-ME-24 Bechar 003 lunar meteorite was found on March 24, 2022. Many small pieces of Bechar 003 were found which initially totaled 1522 grams.;$30.80;Bechar 003 Lunar Meteorite;0.56g
Sericho Pallasite Individual 2.54g;Sericho pallasite meteorite was purchased in 2017 in Isiolo County, Kenya. These small pieces are skeletons of mostly only metal. SERS-229;$25.40;Sericho Pallasite Meteorite;2.54g
NWA 11788 Lunar Meteorite 1.02g Windowed;Lunar Meteorite NWA 11788 is a Feldspathic Breccia. It was obtained in Mali. We are offering small affordable pieces of this interesting lunar meteorite. -167;$91.80;NWA 11788 Lunar Meteorite;1.02g
Saffordite 7.1g;The surface of Saffordites are usually pitted with cup-shaped depressions similar to tektites. Some SAF-148are gemmy clear and sparkling when held to light.;$56.80;Saffordite;7.1g
Sericho Pallasite Individual 3.70g;SERS-231 Sericho pallasite meteorite was purchased in 2017 in Isiolo County, Kenya. These small pieces are skeletons of mostly only metal.;$37.00;Sericho Pallasite Meteorite;3.70g
Campo del Cielo Meteorite 23.0g Crystal;Campo del Cielo iron meteorite was first recorded in 1576 by Spanish explorers. However, people native to the area had known about the meteorites for yearsCC-158;$28.75;Campo del Cielo Iron Meteorite;23.0g
Gebel Kamil Meteorite 2.9g Cleaned;The Gebel Kamil meteorite was found in Al Wadi al Jadid, Egypt in 2009. A total of about 1600 kg of Gebel Kamil iron meteorite shrapnel was found. GEB-33;$5.80;Gebel Kamil Iron Meteorite;2.9g
NWA 12925 Meteorite 1.13g;12925-21 NWA 12925 consists of numerous texturally equilibrated chondrules, chromium-bearing magnetite and pentlandite.;$19.21;NWA 12925 CK5 Meteorite;1.13g
NWA 16315 Meteorite 4.60g Slice;When sliced and polished, the interior of NWA 16315 reveals a dark gray interior with white areas and glassy feldspathic melt. 16315-22;$230.00;NWA 16315 Lunar Meteorite;4.60g
Saffordite 4.7g;The surface of Saffordites are usually pitted with cup-shaped depressions similar to tektites. Some SAF-157 are gemmy clear and sparkling when held to light.;$37.60;Saffordite;4.7g
Campo del Cielo Meteorite 21.4g Crystal;Campo del Cielo iron meteorite CC-145 recorded in 1576 by Spanish explorers. However, people native to the area had known about the meteorites for years;$26.75;Campo del Cielo Iron Meteorite;21.4g
NWA 11700 Meteorite 7.5g;Northwest Africa 11700 is a stone meteorite that was purchased in Morocco in 2017. NWA 11700 was studied at the University of Washington 11700-29;$15.00;NWA 11700 H4 Meteorite;7.5g
Gold Basin Meteorite 1.6g End-Cut;The Gold Basin meteorite is an L4 Chondrite meteorite and is found in an area popular with gold prospectors in Mohave County Arizona, USA. GBAS-34;$12.40;Gold Basin L4 Meteorite;1.6g
Dronino Oxide 10.3g;DROX-45 Nearly 3 tons of Dronino meteorite material recovered since 2000. These oxidized irons are weathering products of Dronino meteorite fragments.;$10.30;Dronino Ataxite Iron Meteorite;10.3g
Saffordite 4.9g;The surface SAF-164 of Saffordites are usually pitted with cup-shaped depressions similar to tektites. Some Saffordites are gemmy clear and sparkling when held to a light.;$39.20;Saffordite;4.9g
NWA 11700 Meteorite 6.9g;Northwest Africa 11700 is a stone meteorite that was purchased in Morocco in 2017. NWA 11700 was studied at the University of Washington 11700-34;$13.80;NWA 11700 H4 Meteorite;6.9g
Aletai Meteorite 10.6g Crystal;Aletai meteorites are commonly seen as slices, and can feature inclusions of troilite and schreibersite. Aletai crystals often take on fantastical, angular shapes. ALET-146;$13.25;Aletai Meteorite;10.6g
Bechar 003 Lunar Meteorite 0.60g;Bechar 003 lunar meteorite was found on March 24, 2022. Many small pieces of Bechar 003 were found which initially totaled 1522 grams. 151-ME-25;$33.00;Bechar 003 Lunar Meteorite;0.60g
Dronino Oxide 8.9g;Nearly 3 tons of Dronino meteorite material have been recovered since 2000. These oxidized irons are weathering products of Dronino meteorite fragments.DROX-42;$8.90;Dronino Ataxite Iron Meteorite;8.9g
Muonionalusta Meteorite 7.5g;MUO-102 Nice affordable slices and multiple cut pieces of Muonionalusta iron meteorite from Sweden;$30.00;Muonionalusta Meteorite;7.5g
Bechar 003 Lunar Meteorite 1.04g;Bechar 003 lunar meteorite was found in 151-ME-16 on March 24, 2022. Many small pieces of Bechar 003 were found which initially totaled 1522 grams.;$57.20;Bechar 003 Lunar Meteorite;1.04g
Campo del Cielo Meteorite 17.3g Crystal;Campo del Cielo iron meteorite was first recorded in 1576 by Spanish explorers. However, people native to the area had known about the meteorites for years,CC-161;$21.63;Campo del Cielo Iron Meteorite;17.3g
Gebel Kamil Meteorite 5.3g Cleaned;GEB-30 The Gebel Kamil meteorite was found in Al Wadi al Jadid, Egypt in 2009. A total of about 1600 kg of Gebel Kamil iron meteorite shrapnel was found.;$10.60;Gebel Kamil Iron Meteorite;5.3g
Bechar 003 Lunar Meteorite 0.56g;Bechar 003 151-ME-20 lunar meteorite was found on March 24, 2022. Many small pieces of Bechar 003 were found which initially totaled 1522 grams.;$30.80;Bechar 003 Lunar Meteorite;0.56g
Gold Basin Meteorite 41.7g;The Gold Basin meteorite is an L4 Chondrite meteorite and is found in an area popular with gold prospectors in Mohave County Arizona, USA. GBAS-25;$62.55;Gold Basin L4 Meteorite;41.7g
Gold Basin Meteorite 2.5g Slice;The Gold Basin meteorite is an L4 Chondrite meteorite and is found in an area popular with gold prospectors in Mohave County Arizona, USA. GBAS-37;$19.38;Gold Basin L4 Meteorite;2.5g
NWA 11700 Meteorite 14.2g;Northwest Africa 11700 is a stone meteorite that was purchased in Morocco in 2017. NWA 11700 was studied at the University of Washington 11700-33;$28.40;NWA 11700 H4 Meteorite;14.2g
Dronino Oxide 17.8g;DROX-43 Nearly 3 tons of Dronino meteorite material recovered since 2000. These oxidized irons are weathering products of Dronino meteorite fragments.;$17.80;Dronino Ataxite Iron Meteorite;17.8g
Aletai Meteorite 12.9g Crystal;Aletai meteorites were found in China in 1898. The 28-ton ALET-137 Armanty mass of Aletai is the fifth largest meteorite found on Earth’s surface.;$16.13;Aletai Meteorite;12.9g
Gold Basin Meteorite 24.9g;The Gold Basin meteorite is an L4 Chondrite meteorite GBAS-29 and is found in an area popular with gold prospectors in Mohave County Arizona, USA.;$31.74;Gold Basin L4 Meteorite;24.9g
Dalgety Downs Meteorite 130.5g;Dalgety Downs is classified as an L4 chondrite and contains easily observed chondrules of many types. DALG-109;$652.50;Dalgety Downs L4 Meteorite;130.5g