name;description;price;category;mass
Campo del Cielo Meteorite 21.1g Crystal;CC-160 Campo del Cielo iron meteorite was first recorded in 1576 by Spanish explorers. However, people native to the area had known about the meteorites for years,;26.38;Iron, IAB-MG;21.1
Laâyoune 002 Lunar Meteorite 0.62g;Laâyoune LAAY-193 002 is classified as a Lunar Feldspathic Breccia type meteorite and has been given a low shock stage and a low weathering state.;46.5;Lunar;0.62
Clarendon (c) Meteorite 2.1g;CLAR-17 Clarendon (c) meteorites have a reddish-brown exterior and no fusion crust. The interior of this meteorite is a soft gray color,;14.85;L4;2.1
Tassédet 004 Meteorite 9.6g;Tassedet 004 stone meteorites generally rounded stones are dark grey in external appearance sometimes showing evidence of the melt areas inside. TAS-69;17.28;H5;9.6
Clarendon (c) Meteorite 1.6g;Clarendon (c) meteorites have a reddish-brown exterior and no fusion crust. The interior of this meteorite is a soft gray color CLAR-18;15.0;L4;1.6
Gold Basin Meteorite 36.1g;GBAS-21 Gold Basin meteorite is an L4 Chondrite meteorite and is found in an area popular with gold prospectors in Mohave County Arizona, USA.;54.15;L4;36.1
Laâyoune 002 Lunar Meteorite 1.29g;Laâyoune 002 is classified as a Lunar LAAY-181 Feldspathic Breccia type meteorite and has been given a low shock stage and a low weathering state.;97.75;Lunar;1.29
Gold Basin Meteorite 48.8g;GBAS-23 Gold Basin meteorite is an L4 Chondrite meteorite and is found in an area popular with gold prospectors in Mohave County Arizona, USA.;73.2;L4;48.8
NWA 869 Meteorite 24.3g Slice;The NWA 869 meteorite can contain large metal grains, troilite inclusions, giant chondrules, armored chondrules 869-379;85.05;L3-6;24.3
Sericho Pallasite Individual 1.21g;The Sericho pallasite meteorite was purchased in 2017 in Isiolo County, Kenya. These small pieces are skeletons of mostly only metal SERS-235;12.1;Pallasite, PMG;1.21
Muonionalusta Meteorite 3.7g;Nice affordable slices and multiple cut pieces of Muonionalusta iron meteorite from Sweden. MUO-106;14.8;Iron, IVA;3.7
NWA 11700 Meteorite 6.2g;Northwest Africa 11700 is a stone meteorite that was purchased in Morocco in 2017. NWA 11700 was studied at the University of Washington. 11700-28;12.4;H4;6.2
NWA 869 Meteorite 22.0g Slice;869-381 NWA 869 meteorite can contain large metal grains, troilite inclusions, giant chondrules, armored chondrules;77.0;L3-6;22.0
Aletai Meteorite 8.0g Crystal;ALET-148 Aletai meteorites are commonly seen as slices, and can feature inclusions of troilite and schreibersite. Aletai crystals often take on fantastical, angular shapes.;10.0;Iron, IIIAB;8.0
Sikhote-Alin Meteorite 18.1g;SA-2172 Thumbprints or regmaglypts are what make iron meteorites look so distinctive in museums. Sikhote Alin individuals have this characteristic.;90.5;Iron, IIAB;18.1
Laâyoune 002 Lunar Meteorite 1.57g;Laâyoune 002 is classified as a Lunar LAAY-180 Feldspathic Breccia type meteorite and has been given a low shock stage and a low weathering state.;118.75;Lunar;1.57
Tassédet 004 Meteorite 20.8g Slice;Tassedet 004 stone meteorites generally rounded stones are dark grey in external appearance sometimes showing evidence of the melt areas inside.TAS-71;62.4;H5;20.8
Bechar 003 Lunar Meteorite 0.58g;Bechar 003 lunar meteorite was found on March 24, 2022. Many small pieces of Bechar 003 were found which initially totaled 1522 grams.151-ME-11;31.9;Lunar;0.58
Laâyoune 002 Lunar Meteorite 2.02g;Laâyoune 002 is classified as a Lunar LAAY-182 Feldspathic Breccia type meteorite and has been given a low shock stage and a low weathering state.;152.5;Lunar;2.02
NWA 11700 Meteorite 6.4g;Northwest Africa 11700 is a stone meteorite that was purchased in Morocco in 2017. NWA 11700 was studied at the University of Washington. 11700-23;12.8;H4;6.4
Dronino Oxide 5.2g;nearly 3 tons of Dronino meteorite material recovered since 2000. These oxidized irons are weathering products of Dronino meteorite fragments. DROX-48;5.2;Iron, ungrouped;5.2
Saffordite 5.4g;The surface of Saffordites are usually pitted with cup-shaped depressions similar to tektites. Some Saffordites are gemmy clear SAF-159 when held to a light.;43.2;Unknown;5.4
Laâyoune 002 Lunar Meteorite 1.68g;Laâyoune 002 is LAAY-186classified as a Lunar Feldspathic Breccia type meteorite and has been given a low shock stage and a low weathering state.;127.0;Lunar;1.68
Gebel Kamil Meteorite 3.7g Cleaned;GEB-32 Gebel Kamil meteorite was found in Al Wadi al Jadid, Egypt in 2009. A total of about 1600 kg of Gebel Kamil iron meteorite shrapnel was found.;7.4;Iron, ungrouped;3.7
Campo del Cielo Meteorite 23.5g Crystal;Campo del Cielo meteorites are made up of 93% iron and about 7% nickel. Scientists estimate that Campo del Cielo meteorites are about 4.5 billion years old. CC-144;29.38;Iron, IAB-MG;23.5
Laâyoune 002 Lunar Meteorite 1.43g;Laâyoune 002 is classified as a Lunar LAAY-184 Feldspathic Breccia type meteorite and has been given a low shock stage and a low weathering state.;108.25;Lunar;1.43
Bechar 003 Lunar Meteorite 0.43g;Bechar 003 lunar meteorite was found 151-ME-15 on March 24, 2022. Many small pieces of Bechar 003 were found which initially totaled 1522 grams.;23.65;Lunar;0.43
Seymchan Siderite Meteorite 37.9g;SIDER-12 The Seymchan meteorite was found in 1967 in Magadanskaya oblast’, Russia. These Seymchan siderite meteorite part slices display a beautiful etched pattern.;113.7;Iron, IIE-an;37.9
NWA 10256 CR2 Meteorite 0.38g Slice;A 10256-11 rare CR2 is thought to be heated at higher temperatures, compared to other carbonaceous chondrites (CI/CM) and formed in an aqueous environment.;5.0;CR2;0.38
Clarendon (c) Meteorite 0.8g;The Clarendon (c) meteorite was found in on a Texas ranch. They have a reddish-brown exterior and no fusion crust. CLAR-22;10.0;L4;0.8
Clarendon (c) Meteorite 8.2g;CLAR-11 Clarendon (c) meteorites have a reddish-brown exterior and no fusion crust. The interior of this meteorite is a soft gray color,;35.0;L4;8.2
Bechar 003 Lunar Meteorite 0.63g;Bechar 003 lunar meteorite was found on March 24, 2022. Many small pieces of Bechar 003 were found which initially totaled 1522 grams. 151-ME-08;34.65;Lunar;0.63
NWA 10256 CR2 Meteorite 0.21g Slice;A rare CR2 is thought to be heated at higher temperatures, compared to other carbonaceous chondrites (CI/CM) and formed in an aqueous environment. 10256-18;5.0;CR2;0.21
Gebel Kamil Meteorite 11.3g Cleaned;GEB-27 Gebel Kamil meteorite was found in Al Wadi al Jadid, Egypt in 2009. A total of about 1600 kg of Gebel Kamil iron meteorite shrapnel was found.;22.6;Iron, ungrouped;11.3
NWA 10256 CR2 Meteorite 0.34g Slice;A 10256-16 rare CR2 is thought to be heated at higher temperatures, compared to other carbonaceous chondrites (CI/CM) and formed in an aqueous environment.;5.0;CR2;0.34
Bechar 003 Lunar Meteorite 0.63g;Bechar 003 lunar meteorite was 151-ME-17 found on March 24, 2022. Many small pieces of Bechar 003 were found which initially totaled 1522 grams.;34.65;Lunar;0.63
NWA 11788 Lunar Meteorite 2.61g Windowed;Fine fragmental breccia of NWA 11788 and its dark gray matrix make it somewhat different from other Lunar Feldspathic Breccias which consist of larger clasts 169;234.9;Lunar;2.61
NWA 10256 CR2 Meteorite 0.49g Slice;A rare CR2 is 10256-08 thought to be heated at higher temperatures, compared to other carbonaceous chondrites (CI/CM) and formed in an aqueous environment.;5.0;CR2;0.49
NWA 16315 Meteorite 2.83g Slice;When sliced and polished, the interior of NWA 16315 reveals a dark gray interior with white areas and glassy feldspathic melt. 16315-27;141.5;Lunar;2.83
Aletai Meteorite 21.2g Crystal;Aletai meteorites were found in China in 1898. The 28-ton (ALET-131) Armanty mass of Aletai is the fifth largest meteorite found on Earth’s surface.;26.5;Iron, IIIAB;21.2
Bechar 003 Lunar Meteorite 0.59g;151-ME-01 Bechar 003 lunar meteorite was found on March 24, 2022. Many small pieces of Bechar 003 were found which initially totaled 1522 grams.;32.45;Lunar;0.59
Saffordite 5.2g;The SAF-161 surface of Saffordites are usually pitted with cup-shaped depressions similar to tektites. Some Saffordites are gemmy clear and sparkling when held to a light.;41.6;Unknown;5.2
Aletai Meteorite 14.5g Crystal;ALET-143 Aletai meteorites were found in China in 1898. The 28-ton (62,000-pound) Armanty mass of Aletai is the fifth largest meteorite found on Earth’s surface;18.13;Iron, IIIAB;14.5
Sericho Pallasite Individual 1.74g;The Sericho pallasite meteorite was purchased in 2017 in Isiolo County, Kenya. These small pieces are skeletons of mostly only metal SERS-234;15.66;Pallasite, PMG;1.74
Gold Basin Meteorite 51.8g End-Cut;The Gold Basin meteorite GBAS-27 is an L4 Chondrite meteorite and is found in an area popular with gold prospectors in Mohave County Arizona, USA.;129.5;L4;51.8
NWA 16315 Meteorite 2.82g Slice;When sliced and polished, the interior of NWA 16315 reveals a dark gray interior with white areas and glassy feldspathic melt.;141.0;Lunar;2.82
Aletai Meteorite 21.3g Crystal;Aletai meteorites were found in China in 1898. The 28-ton (ALET-129) Armanty mass of Aletai is the fifth largest meteorite found on Earth’s surface.;26.63;Iron, IIIAB;21.3
NWA 11788 Lunar Meteorite 2.14g Windowed;Fine fragmental breccia of NWA 11788 and its dark gray matrix make it somewhat different from other Lunar Feldspathic Breccias which consist of larger clasts. 171;192.6;Lunar;2.14
NWA 16315 Meteorite 3.68g Slice;When sliced and polished, the interior of NWA 16315 reveals a dark gray interior with white areas and glassy feldspathic melt. 16315-25;184.0;Lunar;3.68
NWA 11700 Meteorite 18.1g;11700-36 Northwest Africa 11700 is a stone meteorite that was purchased in Morocco in 2017. NWA 11700 was studied at the University of Washington;32.58;H4;18.1
NWA 13974 Lunar Meteorite 0.84g;NWA 13974 is a lunar meteorite that was found in Northwest Africa in Temara. NWA 13974 is classified as a feldspathic melt breccia. 13974-26;43.0;Lunar;0.84
NWA 11788 Lunar Meteorite 1.95g Windowed;Lunar Meteorite NWA 11788 is a Feldspathic Breccia. It was obtained in Mali. We are offering small affordable pieces of this interesting lunar meteorite -164;175.5;Lunar;1.95
NWA 13974 Lunar Meteorite 0.64g;13974 is a lunar meteorite that was found in Northwest Africa in 2021 in Temara and Nis classified as a feldspathic melt breccia. 13974-31;33.0;Lunar;0.64
Tassédet 004 Meteorite 23.7g;Tassedet 004 stone meteorites generally rounded stones are dark grey in external appearance sometimes showing evidence of the melt areas inside. TAS-68;47.4;H5;23.7
Gebel Kamil Meteorite 133.7g;Gebel Kamil meteorite was found in Al Wadi al Jadid, Egypt in 2009. A total of about 1600 kg of Gebel Kamil iron meteorite shrapnel was found. GEB-21;200.55;Iron, ungrouped;133.7
NWA 11700 Meteorite 30.3g;Northwest Africa 11700 is a stone meteorite that was purchased in Morocco in 2017. NWA 11700 was studied at the University of Washington 11700-35;60.6;H4;30.3
Aletai Meteorite 20.8g Crystal;Aletai meteorites were found in China in 1898. The 28-ton ALET-134 Armanty mass of Aletai is the fifth largest meteorite found on Earth’s surface.;26.0;Iron, IIIAB;20.8
Gebel Kamil Meteorite 8.7g Cleaned;GEB-25 Gebel Kamil meteorite was found in Al Wadi al Jadid, Egypt in 2009. A total of about 1600 kg of Gebel Kamil iron meteorite shrapnel was found.;17.4;Iron, ungrouped;8.7
NWA 11788 Lunar Meteorite 2.11g Windowed;Lunar Meteorite NWA 11788 is a Feldspathic Breccia.. We are offering small affordable pieces of this interesting lunar meteorite -159;189.9;Lunar;2.11
NWA 12925 Meteorite 1.66g;NWA 12925 consists of numerous texturally equilibrated chondrules, chromium-bearing magnetite and pentlandite. 12925-17;28.22;CK5;1.66
Sericho Pallasite Individual 1.73g;SERS-232;17.3;Pallasite, PMG;1.73
NWA 11700 Meteorite 5.9g;Northwest Africa 11700 is a stone meteorite that was purchased in Morocco in 2017. NWA 11700 was studied at the University of Washington. 11700-26;11.8;H4;5.9
Dronino Oxide 13.1g;There have been nearly 3 tons of Dronino meteorite material recovered since 2000. These oxidized irons are weathering products of Dronino meteorite fragments. DROX-41;13.1;Iron, ungrouped;13.1
Clarendon (c) Meteorite 0.9g;The Clarendon (c) meteorite was found in on a Texas ranch. They have a reddish-brown exterior and no fusion crust. CLAR-20;10.0;L4;0.9
Clarendon (c) Meteorite 4.5g;CLAR-12 Clarendon (c) meteorites have a reddish-brown exterior and no fusion crust. The interior of this meteorite is a soft gray color;25.0;L4;4.5
NWA 11788 Lunar Meteorite 1.36g Windowed;Lunar Meteorite NWA 11788 is a Feldspathic Breccia.. We are offering small affordable pieces of this interesting lunar meteorite. 11788-161;110.16;Lunar;1.36
Campo del Cielo Meteorite 29.4g Crystal;Campo del Cielo iron meteorite was first recorded in 1576 by Spanish explorers. However, people had known about the meteorites, and used the material in their tools and weaponsCC-164;36.75;Iron, IAB-MG;29.4
Saffordite 5.2g;The surface of Saffordites are usually pitted with cup-shaped depressions similar to tektites. Some SAF-153are gemmy clear and sparkling when held to light.;41.6;Unknown;5.2
NWA 13974 Lunar Meteorite 0.76g;NWA 13974 is described as a complex breccia composed of many angular clasts. 13974-30;39.0;Lunar;0.76
Seymchan Siderite Meteorite 22.5g Slice;SIDER-14 Seymchan meteorite was found in 1967 in Magadanskaya oblast’, Russia, siderite meteorite part slices display a beautiful etched pattern.;67.5;Iron, IIE-an;22.5
NWA 11788 Lunar Meteorite 1.67g Windowed;Fine fragmental breccia of NWA 11788 and its dark gray matrix make it somewhat different from other Lunar Feldspathic Breccias which consist of larger clasts. 11788-175;150.3;Lunar;1.67
Sericho Pallasite Individual 0.82g;SERS-237 The Sericho pallasite meteorite was purchased in 2017 in Isiolo County, Kenya. These small pieces are skeletons of mostly only metal;8.2;Pallasite, PMG;0.82
NWA 869 Meteorite 32.1g Slice;869-378 NWA 869 meteorite can contain large metal grains, troilite inclusions, giant chondrules, armored chondrules;112.35;L3-6;32.1
Muonionalusta Meteorite 5.2g;Nice affordable slices and multiple cut pieces of Muonionalusta iron meteorite from Sweden MUO-101;20.8;Iron, IVA;5.2
NWA 10256 CR2 Meteorite 0.26g Slice;10256-20 A rare CR2 is thought to be heated at higher temperatures, compared to other carbonaceous chondrites (CI/CM) and formed in an aqueous environment.;5.0;CR2;0.26
NWA 10256 CR2 Meteorite 0.23g Slice;A rare CR2 is thought to be heated at higher temperatures, compared to other carbonaceous chondrites (CI/CM) and formed in an aqueous environment. 10256-19;5.0;CR2;0.23
Laâyoune 002 Lunar Meteorite 1.54g;Laâyoune 002 LAAY-187 is classified as a Lunar Feldspathic Breccia type meteorite and has been given a low shock stage and a low weathering state.;116.5;Lunar;1.54
NWA 11700 Meteorite 5.2g;Northwest Africa 11700 is a stone meteorite that was purchased in Morocco in 2017. NWA 11700 was studied at the University of Washington.11700-22;10.4;H4;5.2
Muonionalusta Meteorite 3.2g;MUO-108 Nice affordable slices and multiple cut pieces of Muonionalusta iron meteorite from Sweden.;12.8;Iron, IVA;3.2
NWA 16315 Meteorite 1.51g Slice;16315-32 When sliced and polished, the interior of NWA 16315 reveals a dark gray interior with white areas and glassy feldspathic melt.;75.5;Lunar;1.51
Dronino Oxide 4.3g;Nearly 3 tons of Dronino meteorite material recovered since 2000. These oxidized irons are weathering products of Dronino meteorite fragments. DROX-53;5.0;Iron, ungrouped;4.3
Laâyoune 002 Lunar Meteorite 0.86g;Laâyoune 002 is classified as a Lunar Feldspathic Breccia type meteorite and has been given a low shock stage and a low weathering state. LAAY-192;65.5;Lunar;0.86
NWA 12925 Meteorite 2.85g;NWA 12925 consists of numerous texturally equilibrated chondrules, chromium-bearing magnetite and pentlandite. 12925-16;48.45;CK5;2.85
Aletai Meteorite 10.4g Crystal;Aletai meteorites were found in China in 1898. The 28-ton (ALET-135) Armanty mass of Aletai is the fifth largest meteorite found on Earth’s surface.;13.0;Iron, IIIAB;10.4
NWA 11788 Lunar Meteorite 1.94g Windowed;Fine fragmental breccia 11788-174 of NWA 11788 and its dark gray matrix make it somewhat different from other Lunar Feldspathic Breccias which consist of larger clasts.;148.41;Lunar;1.94
Gold Basin Meteorite 2.2g End-Cut;The Gold Basin GBAS-32 meteorite is an L4 Chondrite meteorite and is found in an area popular with gold prospectors in Mohave County Arizona, USA.;17.05;L4;2.2
NWA 11788 Lunar Meteorite 2.39g Windowed;Lunar Meteorite NWA 11788 is a Feldspathic Breccia. It was obtained in Mali. We are offering small affordable pieces of this interesting lunar meteorite -165;215.1;Lunar;2.39
Aletai Meteorite 10.5g Crystal;Aletai meteorites are commonly seen as slices, and can feature inclusions of troilite and schreibersite. Aletai crystals often take on fantastical, angular shapes. ALET-147;13.13;Iron, IIIAB;10.5
Dronino Oxide 3.0g;Nearly 3 tons of Dronino meteorite material recovered since 2000. These oxidized irons are weathering products of Dronino meteorite fragments. DROX-51;5.0;Iron, ungrouped;3.0
Dronino Oxide 6.6g;nearly 3 tons of Dronino meteorite material recovered since 2000. These oxidized irons are weathering products of Dronino meteorite fragments. DROX-47;6.6;Iron, ungrouped;6.6
Gold Basin Meteorite 20.3g;The Gold Basin meteorite is an L4 Chondrite meteorite and is found in an area popular with gold prospectors in Mohave County Arizona, USA. GBAS-30;30.45;L4;20.3
Dronino Oxide 7.1g;DROX-49 nearly 3 tons of Dronino meteorite material recovered since 2000. These oxidized irons are weathering products of Dronino meteorite fragments.;7.1;Iron, ungrouped;7.1
Gebel Kamil Meteorite 119.6g;Gebel Kamil meteorite was found in Al Wadi al Jadid, Egypt in 2009. A total of about 1600 kg of Gebel Kamil iron meteorite shrapnel was found. GEB-23;161.46;Iron, ungrouped;119.6
NWA 11788 Lunar Meteorite 3.42g Windowed;Lunar Meteorite NWA 11788 is a Feldspathic Breccia. It was obtained in Mali. We are offering small affordable pieces of this interesting lunar meteorite 163;307.8;Lunar;3.42
Campo del Cielo Meteorite 21.7g Crystal;Campo del Cielo iron meteorite CC-153 first recorded in 1576 by Spanish explorers. However, people native to the area had known about the meteorites for years;27.13;Iron, IAB-MG;21.7
Muonionalusta Meteorite 7.1g;Nice affordable slices and multiple cut pieces of Muonionalusta iron meteorite from Sweden. MUO-103;28.4;Iron, IVA;7.1
Ajdabiya 001 Meteorite 2.98g;Ajdabiya 001 is classified as a lunar melt breccia. As a breccia, it is composed of different materials cemented together by a matrix. AJDA01-10;254.3;Lunar;2.98
Tassédet 004 Meteorite 94.5g;Tassedet 004 stone meteorites generally rounded stones are dark grey in external appearance sometimes showing evidence of the melt areas inside. TAS-66;189.0;H5;94.5
NWA 10256 CR2 Meteorite 0.30g Slice;A rare CR2 is thought to be heated at higher temperatures, compared to other carbonaceous chondrites (CI/CM) and formed in an aqueous environment. 10256-15;5.0;CR2;0.3
Campo del Cielo Meteorite 28.6g Crystal;CC-163Campo del Cielo iron meteorite was first recorded in 1576 by Spanish explorers. However, people had known about the meteorites, and used the material in their tools and weapons;35.75;Iron, IAB-MG;28.6
Seymchan Pallasite Meteorite 22.1g Slice;The Seymchan meteorite was found in 1967 in Magadanskaya oblast', Russia. These Seymchan meteorite part slices display beautiful olivine crystals. SEYMC-27;154.0;Pallasite, PMG;22.1
Aletai Meteorite 14.2g Crystal;Aletai meteorites were found in China in 1898. ALET-140 28-ton (62,000-pound) Armanty mass of Aletai is the fifth largest meteorite found on Earth’s surface;22.75;Iron, IIIAB;14.2
NWA 11788 Lunar Meteorite 1.84g Windowed;11788-158;165.6;Lunar;1.84
Campo del Cielo Meteorite 21.7g Crystal;CC-165 Campo del Cielo iron meteorite was first recorded in 1576 by Spanish explorers. However, people had known about the meteorites, and used the material in their tools and weapons;27.13;Iron, IAB-MG;21.7
Aguas Zarcas CM2 Meteorite 0.19g;Aguas Zarcas stones have a black matrix with Calcium Aluminum Inclusions (CAIs) and chondrules. This is the largest fall of CM-2 meteorites in recent history AZ-157;47.5;CM2;0.19
Aguas Zarcas CM2 Meteorite 0.05g;AZ-160 Aguas Zarcas stones have a black matrix with Calcium Aluminum Inclusions (CAIs) and chondrules. This is the largest fall of CM-2 meteorites in recent history;12.5;CM2;0.05
NWA 11788 Lunar Meteorite 2.15g Windowed;Fine fragmental breccia of NWA 11788 and its dark gray matrix make it somewhat different from other Lunar Feldspathic Breccias which consist of larger clasts. 11788-172;193.5;Lunar;2.15
Bechar 003 Lunar Meteorite 0.78g;151-ME-23 Bechar 003 lunar meteorite was found on March 24, 2022. Many small pieces of Bechar 003 were found which initially totaled 1522 grams.;42.9;Lunar;0.78
Bechar 003 Lunar Meteorite 1.25g;Bechar 003 lunar meteorite was found on March 24, 2022. Many small pieces of Bechar 003 were found which initially totaled 1522 grams. 151-ME-13;68.75;Lunar;1.25
Campo del Cielo Meteorite 30.8g Crystal;Campo del Cielo iron meteorite CC-147 recorded in 1576 by Spanish explorers. However, people native to the area had known about the meteorites for years;38.5;Iron, IAB-MG;30.8
Sericho Pallasite Individual 1.68g;The Sericho pallasite meteorite was purchased in 2017 in Isiolo County, Kenya. These small pieces are skeletons of mostly only metal SERS-236;16.8;Pallasite, PMG;1.68
Saffordite 4.8g;The surface of Saffordites are usually pitted with cup-shaped depressions similar to tektites. Some SAF-152are gemmy clear and sparkling when held to light.;38.4;Unknown;4.8
NWA 869 Meteorite 28.3g Slice;NWA 869 meteorite can contain large metal grains, troilite inclusions, giant chondrules, armored chondrules 869-380;99.05;L3-6;28.3
Bechar 003 Lunar Meteorite 0.97g;Bechar 003 has been classified as a Lunar Feldspathic Breccia meteorite and is moderately shocked. It has been assigned a low weathering state. 151-ME-07;53.35;Lunar;0.97
Gebel Kamil Meteorite 186.9g;Gebel Kamil meteorite was found in Al Wadi al Jadid, Egypt in 2009. A total of about 1600 kg of Gebel Kamil iron meteorite shrapnel was found. GEB-22;280.35;Iron, ungrouped;186.9
Sikhote-Alin Meteorite 13.5g;Thumbprints or regmaglypts are what make iron meteorites look so distinctive in museums. Sikhote Alin individuals have this characteristic.SA-2176;67.5;Iron, IIAB;13.5
Saffordite 7.1g;The surface of Saffordites are usually pitted with cup-shaped depressions similar to tektites. Some Saffordites are gemmy clear and sparkling when held to a light. SAF-160;56.8;Unknown;7.1
Bechar 003 Lunar Meteorite 0.82g;151-ME-03 Bechar 003 has been classified as a Lunar Feldspathic Breccia meteorite and is moderately shocked. It has been assigned a low weathering state.;45.1;Lunar;0.82
Tassédet 004 Meteorite 41.8g;Tassedet 004 stone meteorites generally rounded stones are dark grey in external appearance sometimes showing evidence of the melt areas inside. TAS-67;83.6;H5;41.8
Seymchan Pallasite Meteorite 11.6g Slice;The Seymchan meteorite was found in 1967 in Magadanskaya oblast', Russia. These Seymchan meteorite part slices display beautiful olivine crystals. SEYMC-29;116.0;Pallasite, PMG;11.6
NWA 16315 Meteorite 1.18g Slice;NWA 16315 lunar meteorite exhibits partial fusion crust and orientation. Flow lines are visible on the meteorite’s exterior. 16315-38;59.0;Lunar;1.18
Saffordite 4.3g;The SAF-163 surface of Saffordites are usually pitted with cup-shaped depressions similar to tektites. Some Saffordites are gemmy clear and sparkling when held to a light.;34.4;Unknown;4.3
Ajdabiya 001 Meteorite 0.32g Slice;AJDA01-17 The Ajdabiya 001 lunar meteorite was found in 2021 in Libya. The specimens total 28.8 kilograms and were studied at the University of Washington;28.2;Lunar;0.32
Saffordite 6.3g;The surface of Saffordites are usually pitted with cup-shaped depressions similar to tektites. Some SAF-155s are gemmy clear when held to light.;50.4;Unknown;6.3
Bechar 003 Lunar Meteorite 0.53g;151-ME-14 Bechar 003 lunar meteorite was found on March 24, 2022. Many small pieces of Bechar 003 were found which initially totaled 1522 grams.;29.15;Lunar;0.53
